\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,37322.018240361445,0.03371298499405384,0.033715348690748215,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",12,203154,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-00
1000000,37201.68355276837,0.018666114658117294,0.018668480217456818,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",12,102314,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-01
1000000,37314.49732238688,0.014060448855161667,0.014062581583857536,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",12,96182,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-02
1000000,37314.49732238688,0.01158720813691616,0.011589271947741508,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",12,81830,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-03
1000000,37185.56729996573,0.015497859567403793,0.015500184148550034,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",12,53014,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-04
1000000,37185.56729996573,0.014995120465755463,0.014997392892837524,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",12,65714,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-05
1000000,37185.56729996573,0.014785686507821083,0.01478797011077404,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",12,90814,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-06
1000000,37298.38106958423,0.014368947595357895,0.014371290802955627,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",12,64750,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-07
1000000,37169.451047163086,0.013847483322024345,0.013849819079041481,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",12,65370,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-08
1000000,37185.56729996573,0.023587919771671295,0.023590615019202232,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",12,60174,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-09
1000000,37185.56729996573,0.02305840142071247,0.02306113764643669,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",110000,"[1000000]",12,100258,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-10
1000000,37298.38106958423,0.02363155409693718,0.02363370731472969,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",120000,"[1000000]",12,79534,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-11
1000000,37185.56729996573,0.024875029921531677,0.02487737312912941,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",130000,"[1000000]",12,82118,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-12
1000000,37201.68355276837,0.026223544031381607,0.02622588723897934,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",140000,"[1000000]",12,80262,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-13
1000000,37314.49732238688,0.040115201845765114,0.04011738486588001,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",150000,"[1000000]",12,88126,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-14
1000000,37201.68355276837,0.04145193286240101,0.04145408794283867,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",160000,"[1000000]",12,101638,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-15
1000000,37314.49732238688,0.0371886920183897,0.03719133697450161,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",170000,"[1000000]",12,102758,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-16
1000000,38361.80650381834,0.040774475783109665,0.04077665135264397,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",180000,"[1000000]",12,92314,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-17
1000000,38313.704996150766,0.046207476407289505,0.04620968922972679,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",190000,"[1000000]",12,112210,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-19
1000000,38313.704996150766,0.060635024681687355,0.060637230053544044,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",200000,"[1000000]",12,106946,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-20
1000000,38217.007479334905,0.06533434055745602,0.06533636339008808,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",210000,"[1000000]",12,107194,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-21
1000000,38329.821248953405,0.0568169541656971,0.056819116696715355,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",220000,"[1000000]",12,118990,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-22
1000000,38233.123732137545,0.06562304496765137,0.06562514975667,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",230000,"[1000000]",12,123122,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-23
1000000,38345.93750175605,0.07108660414814949,0.07108867540955544,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",240000,"[1000000]",12,111198,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-24
1000000,38233.123732137545,0.06003137677907944,0.06003384105861187,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",250000,"[1000000]",12,110546,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-25
1000000,38361.80650381834,0.07600032351911068,0.07600284740328789,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",260000,"[1000000]",12,121174,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-21-26
