\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,26568,0.07877123728394508,0.07880671322345734,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",6,2450016,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-37
1000000,26568,0.07803993672132492,0.07805588468909264,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",6,2283668,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-38
1000000,26568,0.0786905437707901,0.07871069386601448,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",6,2314360,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-39
1000000,26568,0.08164862915873528,0.08166653290390968,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",6,2371236,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-40
1000000,26568,0.08148181810975075,0.0814991295337677,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",6,2400460,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-41
1000000,26568,0.08232970163226128,0.08234720677137375,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",6,2464412,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-42
1000000,26568,0.08967745676636696,0.08969360962510109,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",6,2623296,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-43
1000000,26568,0.11457059904932976,0.11458795517683029,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",6,3173184,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-45
1000000,26568,0.15092084556818008,0.15094022825360298,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",6,4139560,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-46
1000000,26568,0.18884845823049545,0.18886789679527283,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",6,5203448,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-47
