\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,47635.688157293094,0.03142980672419071,0.0314306877553463,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.1,0.7290000000000001,1.371742112482853,-2024-06-0105-19-21
1000000,43747.06055261611,0.031626028940081596,0.031627148389816284,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.02,0.1,0.1,0.7938000000000001,1.259763164525069,-2024-06-0105-19-22
1000000,44658.45764746229,0.03137660585343838,0.031377699226140976,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.04,0.1,0.1,0.7776,1.286008230452675,-2024-06-0105-19-23
1000000,45608.63759740829,0.031765781342983246,0.031766874715685844,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.06,0.1,0.1,0.7614,1.3133701076963489,-2024-06-0105-19-24
1000000,46600.12971909107,0.03150163032114506,0.03150271438062191,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.08,0.1,0.1,0.7452000000000001,1.341921631776704,-2024-06-0105-19-25
1000000,43747.06055261611,0.031267741695046425,0.03126871399581432,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.02,0.7938000000000001,1.259763164525069,-2024-06-0105-19-27
1000000,44658.45764746228,0.031159868463873863,0.031160838901996613,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.04,0.7776000000000001,1.2860082304526748,-2024-06-0105-19-28
1000000,45608.63759740829,0.031735531985759735,0.03173643723130226,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.06,0.7614,1.3133701076963489,-2024-06-0105-19-29
1000000,46600.12971909107,0.03128047659993172,0.03128145821392536,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.08,0.7452000000000001,1.341921631776704,-2024-06-0105-19-30
1000000,44829.93197278911,0.06835086084902287,0.06835183314979076,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.02,0.1,0.7938000000000001,1.259763164525069,-2024-06-0105-19-31
1000000,45612.13991769547,0.045667100697755814,0.04566818289458752,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.04,0.1,0.7776,1.286008230452675,-2024-06-0105-19-32
1000000,46428.946677173626,0.035222968086600304,0.035224320366978645,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.06,0.1,0.7614,1.3133701076963489,-2024-06-0105-19-33
1000000,47282.60869565217,0.030539486557245255,0.030540557578206062,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.08,0.1,0.7452000000000001,1.341921631776704,-2024-06-0105-19-34
