\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,28539.734879774333,0.028732016682624817,0.02873477153480053,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",12,210844,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-11
1000000,28539.734879774333,0.016673825681209564,0.016675667837262154,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",12,94994,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-12
1000000,28539.734879774333,0.012986419722437859,0.012988552451133728,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",12,88038,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-13
1000000,28539.734879774333,0.010347120463848114,0.010349104180932045,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",12,49046,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-14
1000000,28539.734879774333,0.01145911030471325,0.011461053043603897,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",12,52766,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-15
1000000,28539.734879774333,0.013478647917509079,0.013480382040143013,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",12,71698,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-16
1000000,28539.734879774333,0.0132719986140728,0.013274312019348145,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",12,88634,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-17
1000000,28539.734879774333,0.012628313153982162,0.012629615142941475,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",12,61446,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-18
1000000,28539.734879774333,0.013359390199184418,0.01336146704852581,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",12,65178,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-19
1000000,28539.734879774333,0.015199033543467522,0.015201298519968987,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",12,49986,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-20
1000000,28539.734879774333,0.022820603102445602,0.022822458297014236,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",110000,"[1000000]",12,79950,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-21
1000000,28539.734879774333,0.023091675713658333,0.023093679919838905,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",120000,"[1000000]",12,66330,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-22
1000000,28539.734879774333,0.023150688037276268,0.023152772337198257,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",130000,"[1000000]",12,79174,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-23
1000000,28539.734879774333,0.023992974311113358,0.02399482950568199,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",140000,"[1000000]",12,76146,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-24
1000000,28539.734879774333,0.0255429707467556,0.025544753298163414,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",150000,"[1000000]",12,68338,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-25
1000000,28539.734879774333,0.03332468122243881,0.03332677483558655,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",160000,"[1000000]",12,88154,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-26
1000000,28539.734879774333,0.04078774154186249,0.040789684280753136,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",170000,"[1000000]",12,105814,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-27
1000000,28539.734879774333,0.04298489727079868,0.04298686049878597,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",180000,"[1000000]",12,92478,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-28
1000000,28539.734879774333,0.04341692104935646,0.04341907612979412,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",190000,"[1000000]",12,106606,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-29
1000000,28539.734879774333,0.039559002965688705,0.03956129588186741,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",200000,"[1000000]",12,79494,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-30
1000000,28539.734879774333,0.050280582159757614,0.05028260312974453,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",210000,"[1000000]",12,104302,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-31
1000000,28539.734879774333,0.05836993269622326,0.05837228707969189,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",220000,"[1000000]",12,109266,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-33
1000000,28539.734879774333,0.06273595988750458,0.06273782439529896,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",230000,"[1000000]",12,110318,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-34
1000000,28539.734879774333,0.060584960505366325,0.060586804524064064,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",240000,"[1000000]",12,104794,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-35
1000000,28539.734879774333,0.0580890029668808,0.058090684935450554,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",250000,"[1000000]",12,90306,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-36
1000000,28539.734879774333,0.07117480039596558,0.07117720507085323,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",260000,"[1000000]",12,116158,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-37
1000000,28539.734879774333,0.07029295712709427,0.0702949408441782,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",270000,"[1000000]",12,115566,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-38
1000000,28539.734879774333,0.07495383732020855,0.07495603151619434,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",280000,"[1000000]",12,113178,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-39
1000000,28539.734879774333,0.06907569989562035,0.0690777637064457,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",290000,"[1000000]",12,112074,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-40
1000000,28539.734879774333,0.0738420020788908,0.0738439355045557,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",300000,"[1000000]",12,105462,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-41
1000000,28539.734879774333,0.0743019413203001,0.07430428452789783,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",310000,"[1000000]",12,115458,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-42
1000000,28539.734879774333,0.07994293235242367,0.07994474470615387,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",320000,"[1000000]",12,117158,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-43
1000000,28539.734879774333,0.08740476705133915,0.08740699104964733,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",330000,"[1000000]",12,122922,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-44
1000000,28539.734879774333,0.07508104108273983,0.0750830639153719,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",340000,"[1000000]",12,111742,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-45
1000000,28539.734879774333,0.08468474633991718,0.08468674309551716,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",350000,"[1000000]",12,114694,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-46
1000000,28539.734879774333,0.08889174461364746,0.08889380097389221,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",360000,"[1000000]",12,113298,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-48
1000000,28539.734879774333,0.08394738845527172,0.08394977264106274,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",370000,"[1000000]",12,118942,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-49
1000000,28539.734879774333,0.08424669317901134,0.08424903638660908,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",380000,"[1000000]",12,118454,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-50
1000000,28539.734879774333,0.0869870912283659,0.08698922768235207,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",390000,"[1000000]",12,118022,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-51
1000000,28539.734879774333,0.07407232746481895,0.0740743987262249,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",400000,"[1000000]",12,99106,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-52
1000000,28539.734879774333,0.08693324029445648,0.08693533390760422,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",410000,"[1000000]",12,118550,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-53
1000000,28539.734879774333,0.0848747156560421,0.08487670868635178,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",420000,"[1000000]",12,111394,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-54
1000000,28539.734879774333,0.08413874730467796,0.08414128236472607,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",430000,"[1000000]",12,109226,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-55
1000000,28539.734879774333,0.09178997203707695,0.09179221652448177,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",440000,"[1000000]",12,115238,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-56
1000000,28539.734879774333,0.0873162429779768,0.0873185470700264,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",450000,"[1000000]",12,108258,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-57
1000000,28539.734879774333,0.07894220389425755,0.07894441671669483,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",460000,"[1000000]",12,108578,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-58
1000000,28539.734879774333,0.08838053047657013,0.08838249370455742,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",470000,"[1000000]",12,111998,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-00
1000000,28539.734879774333,0.09778685681521893,0.0977890994399786,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",480000,"[1000000]",12,117318,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-01
1000000,28539.734879774333,0.09857433289289474,0.09857647679746151,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",490000,"[1000000]",12,118718,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-02
1000000,28539.734879774333,0.07654760777950287,0.07655001245439053,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",500000,"[1000000]",12,93026,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-03
1000000,28539.734879774333,0.08005964197218418,0.0800617653876543,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",510000,"[1000000]",12,106490,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-04
1000000,28539.734879774333,0.0824376679956913,0.08244002424180508,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",520000,"[1000000]",12,108314,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-05
1000000,28495.68378878044,0.0883546695113182,0.08835682645440102,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",530000,"[1000000]",12,112354,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-06
1000000,28491.386121366402,0.0944143645465374,0.09441565535962582,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",540000,"[1000000]",12,115418,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-07
1000000,28459.153615761115,0.09672270715236664,0.09672492370009422,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",550000,"[1000000]",12,113802,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-08
