\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,26568,0.12057700753211975,0.12057917937636375,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",12,956370,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-25
1000000,26568,0.10672208294272423,0.10672404617071152,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",12,686632,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-26
1000000,26568,0.10339541174471378,0.10339733585715294,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",12,693576,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-27
1000000,26568,0.10120638273656368,0.10120835900306702,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",12,636376,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-28
1000000,26568,0.1041473001241684,0.10414997301995754,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",12,623836,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-30
1000000,26568,0.1383249070495367,0.1383268442004919,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",12,843956,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-31
1000000,26568,0.19550855457782745,0.19551081955432892,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",12,1112596,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-32
1000000,26568,0.2574361730366945,0.2574386391788721,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",12,1295796,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-33
1000000,26568,0.3126702271401882,0.3126723784953356,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",12,1489140,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-34
1000000,26568,0.38235905952751637,0.3823613040149212,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",12,1789468,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-36
