\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,34740,0.10875310748815536,0.10877073183655739,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",5,3223452,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-51
1000000,34740,0.10987915098667145,0.10989600792527199,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",5,3227472,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-52
1000000,34740,0.11080669611692429,0.11082343384623528,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",5,3266104,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-53
1000000,34740,0.11134124919772148,0.111358892172575,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",5,3308760,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-54
1000000,34740,0.11331454664468765,0.11333226040005684,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",5,3347992,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-55
1000000,34740,0.1150936633348465,0.1151123121380806,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",5,3392400,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-56
1000000,34740,0.12723860144615173,0.12725653499364853,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",5,3627164,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-57
1000000,34740,0.16841937974095345,0.16843580082058907,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",5,4545212,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-36-59
1000000,34740,0.21777139976620674,0.21778859198093414,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",5,6041720,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-00
1000000,34740,0.285863671451807,0.28588149324059486,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",5,7825668,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-01
1000000,34740,0.3762163855135441,0.37623490393161774,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",110000,"[1000000]",5,10433500,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-03
1000000,34740,0.460018377751112,0.46003686264157295,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",120000,"[1000000]",5,12541248,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-04
1000000,34927,0.5552396327257156,0.5552578568458557,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",130000,"[1000000]",5,14990868,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-06
1000000,34927,0.6625802405178547,0.6625987030565739,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",140000,"[1000000]",5,17794820,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-07
1000000,34927,0.8186294510960579,0.8186477236449718,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",150000,"[1000000]",5,21211948,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-09
1000000,35316,1.0005448199808598,1.0005642585456371,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",160000,"[1000000]",5,25905072,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-11
1000000,35316,1.3110649436712265,1.3110862225294113,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",170000,"[1000000]",5,33196676,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-13
1000000,35705,1.557909544557333,1.557930413633585,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",180000,"[1000000]",5,39135840,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-16
1000000,35705,1.9077418595552444,1.9077628329396248,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",190000,"[1000000]",5,47589232,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-19
1000000,35705,2.341956064105034,2.341976974159479,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",200000,"[1000000]",5,57380640,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-22
1000000,35705,2.385182660073042,2.3852036893367767,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",210000,"[1000000]",5,58749936,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-37-26
