\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,35830.29263831733,0.03499761410057545,0.03499912656843662,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.1,0.7290000000000001,1.371742112482853,-2024-06-0105-19-08
1000000,32905.370790291425,0.034456681460142136,0.03445800393819809,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.02,0.1,0.1,0.7938000000000001,1.259763164525069,-2024-06-0105-19-09
1000000,33590.8993484225,0.03350005857646465,0.033501069992780685,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.04,0.1,0.1,0.7776,1.286008230452675,-2024-06-0105-19-10
1000000,34305.59933455915,0.033857911825180054,0.03385887295007706,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.06,0.1,0.1,0.7614,1.3133701076963489,-2024-06-0105-19-11
1000000,35051.37323313652,0.03408518061041832,0.03408598341047764,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.08,0.1,0.1,0.7452000000000001,1.341921631776704,-2024-06-0105-19-12
1000000,32905.370790291425,0.03334622643887997,0.03334773704409599,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.02,0.7938000000000001,1.259763164525069,-2024-06-0105-19-13
1000000,33590.8993484225,0.033583683893084526,0.03358522616326809,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.04,0.7776000000000001,1.2860082304526748,-2024-06-0105-19-14
1000000,34305.59933455915,0.03363636136054993,0.033637234941124916,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.06,0.7614,1.3133701076963489,-2024-06-0105-19-15
1000000,35051.37323313652,0.03378632664680481,0.033787328749895096,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.08,0.7452000000000001,1.341921631776704,-2024-06-0105-19-16
1000000,33254.866885025614,0.061315398663282394,0.061316611245274544,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.02,0.1,0.7938000000000001,1.259763164525069,-2024-06-0105-19-17
1000000,33714.06035665295,0.046802645549178123,0.04680381715297699,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.04,0.1,0.7776,1.286008230452675,-2024-06-0105-19-18
1000000,34201.41843971632,0.04182335175573826,0.04182443395256996,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.06,0.1,0.7614,1.3133701076963489,-2024-06-0105-19-19
1000000,34726.64161746287,0.03488938882946968,0.03489038161933422,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.08,0.1,0.7452000000000001,1.341921631776704,-2024-06-0105-19-20
