\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS),KAVR Demand at 1s,Ratio
1000000,28539.7348797743,0.061255443841219,0.0612566769123077,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-06-0105-35-14,26568,1.0742146522047
1000000,30723.5943043204,0.0456577986478806,0.0456589087843895,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.05,0.05,0.05,0.857375,1.16635077999708,-2024-06-0105-35-15,26568,1.15641351642278
1000000,33147.7780190709,0.0381771624088287,0.0381781719624996,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.075,0.075,0.075,0.791453125,1.26349870688804,-2024-06-0105-35-16,26568,1.24765801035347
1000000,35830.2926383173,0.034487497061491,0.0344884879887104,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.1,0.1,0.1,0.729,1.37174211248285,-2024-06-0105-35-17,26568,1.3486258897289
1000000,38847.8134110787,0.0316433049738407,0.0316445231437683,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.125,0.125,0.125,0.669921875,1.49271137026239,-2024-06-0105-35-18,26568,1.46220315458743
1000000,42178.4245878282,0.0299707874655724,0.0299717597663403,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.15,0.15,0.15,0.614125,1.62833299409729,-2024-06-0105-35-19,26568,1.58756491221877
1000000,45961.5438127835,0.0253529138863087,0.0253540091216564,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.175,0.175,0.175,0.561515625,1.78089434287781,-2024-06-0105-35-20,26568,1.72995874031856
1000000,50151.4973958333,0.0281199216842651,0.0281214229762554,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.2,0.2,0.2,0.512,1.953125,-2024-06-0105-35-21,26568,1.88766551474832
1000000,54962.1026484509,0.0226744040846825,0.0226754434406757,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.225,0.225,0.225,0.465484375,2.14829982209392,-2024-06-0105-35-22,26568,2.06873316201637
1000000,60456.2962962963,0.0216848067939281,0.0216861218214035,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.25,0.25,0.25,0.421875,2.37037037037037,-2024-06-0105-35-23,26568,2.27553057423578
