\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS),KAVR Demand at 1s,Ratio
1000000,38297.5887433481,0.0534432828426361,0.0534451380372047,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.025,0.025,0.025,0.926859375,1.07891232151587,-2024-06-0105-35-34,35705,1.07261136376833
1000000,41228.1187733878,0.040139764547348,0.0401411280035973,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.05,0.05,0.05,0.857375,1.16635077999708,-2024-06-0105-35-35,35705,1.15468754441641
1000000,44546.8106528735,0.0343308709561825,0.0343319587409496,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.075,0.075,0.075,0.791453125,1.26349870688804,-2024-06-0105-35-36,35705,1.24763508340214
1000000,47635.6881572931,0.0313752703368664,0.0313763432204723,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.1,0.1,0.1,0.729,1.37174211248285,-2024-06-0105-35-37,35705,1.33414614640227
1000000,52209.0728862974,0.0303420089185238,0.0303431674838066,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.125,0.125,0.125,0.669921875,1.49271137026239,-2024-06-0105-35-39,35705,1.46223422171397
1000000,56682.9635660493,0.0226310528814793,0.0226322747766972,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.15,0.15,0.15,0.614125,1.62833299409729,-2024-06-0105-35-40,35705,1.58753573914156
1000000,61769.4891986903,0.0264026820659637,0.0264039151370525,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.175,0.175,0.175,0.561515625,1.78089434287781,-2024-06-0105-35-41,35705,1.72999549639239
1000000,65429.3619791667,0.0233562737703323,0.0233574248850346,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.2,0.2,0.2,0.512,1.953125,-2024-06-0105-35-42,35705,1.83249858504878
1000000,73863.703803162,0.0186965838074684,0.0186975598335266,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.225,0.225,0.225,0.465484375,2.14829982209392,-2024-06-0105-35-43,35705,2.0687215740978
1000000,81246.8148148148,0.0193222649395466,0.0193236880004406,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.25,0.25,0.25,0.421875,2.37037037037037,-2024-06-0105-35-44,35705,2.27550244545063
