\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
750000,704410.2715824611,0.6943882033228874,0.6943898778408766,16,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 15938, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 3286, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1720624,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-04
750000,616860.0333788501,0.47804052755236626,0.4780416004359722,15,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1348894,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-06
750000,616903.8665038666,0.40035703405737877,0.4003581665456295,14,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1301646,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-07
750000,602035.0734684828,0.2581202834844589,0.2581213563680649,13,"[0, 553, 4714, 5104, 6421, 6591, 12693, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1227342,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-08
750000,602786.8192878056,0.23634669743478298,0.23634793050587177,12,"[0, 553, 4714, 5104, 6421, 6591, 12693, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1222854,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-10
750000,602599.2174820577,0.15757672488689423,0.15757783688604832,11,"[0, 553, 4714, 5104, 6421, 6591, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1214218,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-11
750000,601127.4444950186,0.1420762948691845,0.1420774683356285,10,"[0, 553, 4714, 5104, 6421, 6591, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1213078,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-12
750000,600913.7817937293,0.09375880844891071,0.09376003034412861,9,"[0, 553, 4714, 5104, 6421, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,616978,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-13
750000,602256.4102564103,0.08339275978505611,0.08339395187795162,8,"[0, 553, 4714, 5104, 6421, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1408, 1264, 690, 656]",646276,"[750000]",12,597342,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-14
750000,601988.8400006744,0.057046471163630486,0.05704766325652599,7,"[0, 553, 4714, 5104, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1408, 1264, 690, 656]",646276,"[750000]",12,606854,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-15
750000,601528.3916901276,0.04432082921266556,0.04432228207588196,6,"[0, 553, 4714, 5104, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1264, 690, 656]",646276,"[750000]",12,595238,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-16
750000,599040.0863129859,0.02819317951798439,0.028194623067975044,5,"[0, 553, 4714, 35486, 38418, 46859]","[0, 4776, 4584, 1264, 690, 656]",646276,"[750000]",12,324578,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-17
750000,408900.6422899915,0.01908114366233349,0.01908213645219803,4,"[0, 553, 4714, 38418, 46859]","[0, 4776, 4584, 690, 656]",646276,"[750000]",12,301258,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-18
750000,407509.517467703,0.009808527305722237,0.009809579700231552,3,"[0, 553, 38418, 46859]","[0, 4776, 690, 656]",646276,"[750000]",12,192978,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-19
750000,405790.9000488883,0.0053643155843019485,0.005365466699004173,2,"[0, 553, 46859]","[0, 4776, 656]",646276,"[750000]",12,165054,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-19-20
