\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
750000,653914,4958.577594360337,4958.577596826479,16,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 15938, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 3286, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1342937230,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-41-47
750000,573504,2557.646047545597,2557.646049708128,15,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,775376676,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0310-24-28
750000,573504,2321.5392695367336,2321.5392720401287,14,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,685705788,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0311-03-13
750000,559952,1995.2179552670568,1995.2179573196918,13,"[0, 553, 4714, 5104, 6421, 6591, 12693, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,539377296,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0311-36-31
750000,559952,1917.5140458717942,1917.5140478648245,12,"[0, 553, 4714, 5104, 6421, 6591, 12693, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,503454888,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0312-08-34
750000,559952,1800.3276178631932,1800.3276200369,11,"[0, 553, 4714, 5104, 6421, 6591, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,455943428,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0312-38-37
750000,559952,1895.3067385591567,1895.3067407645285,10,"[0, 553, 4714, 5104, 6421, 6591, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,452186128,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-10-42
750000,559952,829.9226839598268,829.9226856045425,9,"[0, 553, 4714, 5104, 6421, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,282578188,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-25-06
750000,559952,833.4112982489169,833.411299712956,8,"[0, 553, 4714, 5104, 6421, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1408, 1264, 690, 656]",646276,"[750000]",12,281121540,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-39-02
750000,559952,228.2075950037688,228.20759634301066,7,"[0, 553, 4714, 5104, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1408, 1264, 690, 656]",646276,"[750000]",12,145348800,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-42-51
750000,559952,157.6852976474911,157.68529904074967,6,"[0, 553, 4714, 5104, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1264, 690, 656]",646276,"[750000]",12,101363068,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-45-30
750000,559952,23.419359870254993,23.41936138086021,5,"[0, 553, 4714, 35486, 38418, 46859]","[0, 4776, 4584, 1264, 690, 656]",646276,"[750000]",12,66310496,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-45-55
750000,383760,2.8500957302749157,2.8500970117747784,4,"[0, 553, 4714, 38418, 46859]","[0, 4776, 4584, 690, 656]",646276,"[750000]",12,6393516,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-45-59
750000,383760,0.7098705470561981,0.7098719589412212,3,"[0, 553, 38418, 46859]","[0, 4776, 690, 656]",646276,"[750000]",12,2213924,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-46-00
750000,383760,0.3534216284751892,0.35342305339872837,2,"[0, 553, 46859]","[0, 4776, 656]",646276,"[750000]",12,986300,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0313-46-02
