\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
750000,653914,1273.5445794314146,1273.5446034166962,16,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 15938, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 3286, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,28824757868,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-40-29
750000,573504,309.0844582747668,309.08449970185757,15,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,7158045612,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-46-45
750000,573504,237.0237260442227,237.02376699075103,14,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,5526670780,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-50-55
750000,559952,229.6659548152238,229.6659771464765,13,"[0, 553, 4714, 5104, 6421, 6591, 12693, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,5377172228,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-54-56
750000,559952,173.0829900726676,173.08301773667336,12,"[0, 553, 4714, 5104, 6421, 6591, 12693, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,4057609264,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-57-58
750000,559952,171.3006743453443,171.3006987310946,11,"[0, 553, 4714, 5104, 6421, 6591, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,4047935684,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-00-58
750000,559952,149.24044302105904,149.24047178588808,10,"[0, 553, 4714, 5104, 6421, 6591, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,3582866752,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-03-35
750000,559952,72.37016170285642,72.37018522806466,9,"[0, 553, 4714, 5104, 6421, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1504, 1408, 1264, 690, 656]",646276,"[750000]",12,1766343648,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-04-53
750000,559952,70.51732720248401,70.51735449396074,8,"[0, 553, 4714, 5104, 6421, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1408, 1264, 690, 656]",646276,"[750000]",12,1750432664,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-06-08
750000,559952,65.59886985085905,65.59888528101146,7,"[0, 553, 4714, 5104, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1408, 1264, 690, 656]",646276,"[750000]",12,1611977996,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-07-17
750000,559952,41.94337108917534,41.943394953384995,6,"[0, 553, 4714, 5104, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1264, 690, 656]",646276,"[750000]",12,1068149192,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-08-02
750000,559952,41.85650674439967,41.85652977600694,5,"[0, 553, 4714, 35486, 38418, 46859]","[0, 4776, 4584, 1264, 690, 656]",646276,"[750000]",12,1053778476,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-08-47
750000,383760,0.9952384792268276,0.9952647481113672,4,"[0, 553, 4714, 38418, 46859]","[0, 4776, 4584, 690, 656]",646276,"[750000]",12,29160120,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-08-49
750000,383760,0.9320389200001955,0.932060020044446,3,"[0, 553, 38418, 46859]","[0, 4776, 690, 656]",646276,"[750000]",12,28004248,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-08-51
750000,383760,0.011938083916902542,0.01195703074336052,2,"[0, 553, 46859]","[0, 4776, 656]",646276,"[750000]",12,507600,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-08-52
