\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,26568,0.052950723096728325,0.052990997210145,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-00
1000000,26568,0.05292031541466713,0.05292901210486889,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-01
1000000,26568,0.053579796105623245,0.053587911650538445,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-02
1000000,26568,0.055831726640462875,0.05584103427827358,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-03
1000000,26568,0.0548977367579937,0.05490671284496784,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-04
1000000,26568,0.0555559266358614,0.055566295981407166,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-05
1000000,26568,0.060212720185518265,0.06022057496011257,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-06
1000000,26568,0.0780795756727457,0.07808730751276016,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-07
1000000,26568,0.10046245716512203,0.10047108307480812,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-08
1000000,26568,0.12743044272065163,0.12743927910923958,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-09
1000000,26568,0.16369320079684258,0.16370233707129955,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",110000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-11
1000000,26568,0.20038926973938942,0.20039771497249603,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",120000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-12
1000000,26568,0.23787599802017212,0.23788565956056118,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",130000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-13
1000000,26568,0.2846923880279064,0.2847016863524914,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",140000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-14
1000000,26568,0.3388555943965912,0.33886452950537205,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",150000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-16
1000000,26568,0.41233046166598797,0.4123386275023222,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",160000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-17
1000000,26568,0.5159744992852211,0.5159847587347031,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",170000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-19
1000000,26568,0.6289665587246418,0.6289758644998074,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",180000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-20
1000000,26568,0.7447713539004326,0.7447820138186216,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",190000,"[1000000]",11,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-19-22
