\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,34740,0.07126853801310062,0.07127750478684902,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-01
1000000,34740,0.07134657353162766,0.07135470770299435,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-02
1000000,34740,0.07250162400305271,0.07250855676829815,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-03
1000000,34740,0.07288522645831108,0.07289412431418896,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-04
1000000,34740,0.07435434311628342,0.07436217740178108,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-05
1000000,34740,0.07547215558588505,0.07548071257770061,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-06
1000000,34740,0.08216742239892483,0.08217636682093143,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-08
1000000,34740,0.10487896762788296,0.1048868428915739,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-09
1000000,34740,0.13972577825188637,0.13973447307944298,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-10
1000000,34740,0.18376958556473255,0.18377733789384365,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-11
1000000,34740,0.24049778655171394,0.24050509184598923,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",110000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-12
1000000,34740,0.2954049203544855,0.2954126037657261,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",120000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-14
1000000,34927,0.35149677470326424,0.35150535963475704,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",130000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-15
1000000,34927,0.4228993318974972,0.42290765792131424,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",140000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-16
1000000,34927,0.5082035753875971,0.5082116518169641,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",150000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-18
1000000,35316,0.6329255048185587,0.6329333316534758,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",160000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-20
1000000,35316,0.816231494769454,0.816241392865777,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",170000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-21
1000000,35705,1.0309043638408184,1.030913831666112,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",180000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-24
1000000,35705,1.2289034817367792,1.228912940248847,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",190000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-26
1000000,35705,1.573125921189785,1.5731359999626875,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",200000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-28
1000000,35705,1.8999818116426468,1.8999917320907116,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",210000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-31
1000000,35705,2.369904762133956,2.3699142895638943,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",220000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-35
1000000,35705,2.7858479246497154,2.7858577724546194,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",230000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-39
1000000,35705,3.293975366279483,3.29398724809289,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",240000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-43
1000000,35705,4.393951889127493,4.393961304798722,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",250000,"[1000000]",6,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-58-48
