\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,28539.734879774333,0.06125544384121895,0.06125667691230774,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-35-14
1000000,30723.594304320366,0.045657798647880554,0.045658908784389496,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.05,0.05,0.05,0.8573749999999999,1.1663507799970843,-2024-06-0105-35-15
1000000,33147.77801907093,0.038177162408828735,0.03817817196249962,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.7914531250000001,1.2634987068880421,-2024-06-0105-35-16
1000000,35830.29263831733,0.03448749706149101,0.0344884879887104,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.1,0.7290000000000001,1.371742112482853,-2024-06-0105-35-17
1000000,38847.813411078714,0.031643304973840714,0.03164452314376831,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.125,0.125,0.125,0.669921875,1.4927113702623906,-2024-06-0105-35-18
1000000,42178.42458782822,0.029970787465572357,0.029971759766340256,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.6141249999999999,1.628332994097293,-2024-06-0105-35-19
1000000,45961.543812783486,0.02535291388630867,0.025354009121656418,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.561515625,1.7808943428778141,-2024-06-0105-35-20
1000000,50151.49739583333,0.028119921684265137,0.028121422976255417,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.2,0.2,0.2,0.5120000000000001,1.9531249999999996,-2024-06-0105-35-21
1000000,54962.10264845087,0.022674404084682465,0.022675443440675735,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.225,0.225,0.225,0.46548437500000006,2.1482998220939207,-2024-06-0105-35-22
1000000,60456.2962962963,0.021684806793928146,0.021686121821403503,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.25,0.25,0.25,0.421875,2.3703703703703702,-2024-06-0105-35-23
1000000,66547.90274303991,0.023106329143047333,0.023107361048460007,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.275,0.275,0.275,0.381078125,2.624133830825372,-2024-06-0105-35-24
1000000,73582.0699708455,0.022072743624448776,0.022073902189731598,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3429999999999999,2.9154518950437325,-2024-06-0105-35-25
1000000,81839.96342021032,0.020246736705303192,0.020247846841812134,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.325,0.325,0.325,0.30754687500000005,3.2515368592186147,-2024-06-0105-35-26
1000000,91365.13427401005,0.019729532301425934,0.019731365144252777,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.2746249999999999,3.6413290851160687,-2024-06-0105-35-27
1000000,102420.48,0.018788129091262817,0.018789302557706833,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.375,0.375,0.375,0.244140625,4.096,-2024-06-0105-35-28
1000000,114778.3950617284,0.019752763211727142,0.019753865897655487,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.4,0.4,0.4,0.216,4.62962962962963,-2024-06-0105-35-29
