\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,38297.58874334812,0.05344328284263611,0.05344513803720474,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-35-34
1000000,41228.118773387774,0.04013976454734802,0.04014112800359726,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.05,0.05,0.05,0.8573749999999999,1.1663507799970843,-2024-06-0105-35-35
1000000,44546.81065287348,0.03433087095618248,0.03433195874094963,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.7914531250000001,1.2634987068880421,-2024-06-0105-35-36
1000000,47635.688157293094,0.03137527033686638,0.031376343220472336,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.1,0.1,0.1,0.7290000000000001,1.371742112482853,-2024-06-0105-35-37
1000000,52209.07288629738,0.03034200891852379,0.03034316748380661,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.125,0.125,0.125,0.669921875,1.4927113702623906,-2024-06-0105-35-39
1000000,56682.96356604927,0.022631052881479263,0.02263227477669716,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.6141249999999999,1.628332994097293,-2024-06-0105-35-40
1000000,61769.4891986903,0.026402682065963745,0.026403915137052536,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.561515625,1.7808943428778141,-2024-06-0105-35-41
1000000,65429.36197916666,0.023356273770332336,0.02335742488503456,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.2,0.2,0.2,0.5120000000000001,1.9531249999999996,-2024-06-0105-35-42
1000000,73863.70380316202,0.018696583807468414,0.01869755983352661,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.225,0.225,0.225,0.46548437500000006,2.1482998220939207,-2024-06-0105-35-43
1000000,81246.81481481482,0.019322264939546585,0.019323688000440598,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",600000,"[1000000]",12,-1,0.25,0.25,0.25,0.421875,2.3703703703703702,-2024-06-0105-35-44
