\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,26568,0.08057734463363886,0.0806112689897418,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",11,2450016,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-35
1000000,26568,0.07957491371780634,0.07959257811307907,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",11,2283668,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-36
1000000,26568,0.08060981705784798,0.08062932267785072,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",11,2314360,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-37
1000000,26568,0.08362369332462549,0.083639582619071,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",11,2371236,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-38
1000000,26568,0.08265803102403879,0.08267434127628803,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",11,2400460,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-39
1000000,26568,0.08346403110772371,0.08348255604505539,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",11,2464412,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-41
1000000,26568,0.09124025050550699,0.09125671163201332,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",11,2623296,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-42
1000000,26568,0.11664067767560482,0.1166579108685255,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",11,3171916,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-43
1000000,26568,0.15360557101666927,0.1536235949024558,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",11,4139740,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-44
1000000,26568,0.19421863555908203,0.19423732068389654,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",11,5203268,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0105-20-45
