\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
750000,653914,1162.3429011693224,1162.3429261064157,16,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 15938, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 3286, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,26017418428,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-38-36
750000,573504,303.8008954683319,303.8009472154081,15,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 17092, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2370, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,7157881116,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-44-36
750000,573504,232.72533259354532,232.72535549663007,14,"[0, 553, 4714, 5104, 6421, 6591, 12693, 13966, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 3296, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,5526628780,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-48-41
750000,559952,231.01494127418846,231.0149630960077,13,"[0, 553, 4714, 5104, 6421, 6591, 12693, 19378, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 2266, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,5377132064,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-52-42
750000,559952,173.205272029154,173.20531050115824,12,"[0, 553, 4714, 5104, 6421, 6591, 12693, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 3362, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,4057566088,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-55-45
750000,559952,171.29499346204102,171.29503509029746,11,"[0, 553, 4714, 5104, 6421, 6591, 22569, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1981, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,4047892508,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0308-58-45
750000,559952,148.79675316810608,148.79679508693516,10,"[0, 553, 4714, 5104, 6421, 6591, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 3422, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,3582823744,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-01-21
750000,559952,71.58977725543082,71.58979940693825,9,"[0, 553, 4714, 5104, 6421, 24496, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1504, 1408, 1264, 690, 656]",646276,"[750000]",8,1766341668,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-02-39
750000,559952,72.05018691439182,72.05020964797586,8,"[0, 553, 4714, 5104, 6421, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 4041, 1408, 1264, 690, 656]",646276,"[750000]",8,1750430684,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-03-55
750000,559952,64.73007269203663,64.73009446356446,7,"[0, 553, 4714, 5104, 31465, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1408, 1264, 690, 656]",646276,"[750000]",8,1611975512,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-05-03
750000,559952,41.90652936883271,41.90655129123479,6,"[0, 553, 4714, 5104, 35486, 38418, 46859]","[0, 4776, 4584, 4308, 1264, 690, 656]",646276,"[750000]",8,1068148112,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-05-48
750000,559952,41.774419071152806,41.77444188389927,5,"[0, 553, 4714, 35486, 38418, 46859]","[0, 4776, 4584, 1264, 690, 656]",646276,"[750000]",8,1053777396,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-06-32
750000,383760,1.0040278173983097,1.0040494184941053,4,"[0, 553, 4714, 38418, 46859]","[0, 4776, 4584, 690, 656]",646276,"[750000]",8,29160120,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-06-35
750000,383760,0.9354110527783632,0.9354299986734986,3,"[0, 553, 38418, 46859]","[0, 4776, 690, 656]",646276,"[750000]",8,28004248,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-06-37
750000,383760,0.012354333885014057,0.012373239733278751,2,"[0, 553, 46859]","[0, 4776, 656]",646276,"[750000]",8,507600,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0309-06-38
